,logFC,logCPM,F,PValue,FDR
ENSG00000164032,2.8367988513075537,10.91008193547724,3405.435634801775,7.360791079714492e-54,6.970669152489624e-51
ENSG00000164611,4.877308508365325,7.770533577753426,3170.489355025904,5.838274418217259e-53,2.764422937025872e-50
ENSG00000117724,5.673683458668992,6.896906151054158,2902.619480449541,7.502691160115792e-52,2.3683495095432186e-49
ENSG00000117632,3.51408695176607,10.088063666835174,2445.2962902199224,1.0554077260755077e-49,2.4986777914837646e-47
ENSG00000131747,6.608321464894157,7.577021972463664,2256.9119325240126,1.0594515267053016e-48,2.0066011915798415e-46
ENSG00000198830,2.2144740685809894,9.812567521514156,2148.851936076441,4.336325924629677e-48,6.786757628483062e-46
ENSG00000164104,2.640656273016183,9.01217325774425,2137.96980424741,5.016610707432042e-48,6.786757628483062e-46
ENSG00000196230,2.3483834015479417,10.405380286465611,2066.201481999885,1.336058695673061e-47,1.5815594810029857e-45
ENSG00000189403,1.7797393336569072,10.465239169640151,1973.830217970108,4.954887733463251e-47,4.718750472114402e-45
ENSG00000175063,6.513618714014917,7.790574309001731,1973.4425181072925,4.982841047639284e-47,4.718750472114402e-45
ENSG00000176890,5.193960271313932,7.180866891770186,1762.35205532877,1.265252136327043e-45,1.0892670664560997e-43
ENSG00000148773,6.593578401312412,7.012769005284633,1735.7033999378962,1.9542952162858415e-45,1.54226464151891e-43
ENSG00000270276,3.772688352807224,9.405797792351102,1709.1519774768478,3.033368345390811e-45,2.2096921716039213e-43
ENSG00000137804,4.63842877148426,7.467996136561069,1589.9617047267295,2.376648513749286e-44,1.607632958943267e-42
ENSG00000066279,5.902627722315612,5.621261244185418,1497.9682390187838,1.2923844527642383e-43,8.159253845118225e-42
ENSG00000171848,5.809231928385571,7.666913667409743,1483.1420523795457,1.7138494080983003e-43,1.0143846184181815e-41
ENSG00000124575,3.729494646325822,4.28119388420492,883.4207451664005,3.5044710208478272e-37,1.9521965039664073e-35
ENSG00000138587,3.31446038084046,2.4711306513596893,834.6924006576146,1.6792635943849985e-36,8.834792354903298e-35
