,logFC,logCPM,F,PValue,FDR
ENSG00000007264,2.19338088553452,7.150902529076012,716.6559141614163,6.61367632477363e-37,6.402038682380874e-34
ENSG00000133048,3.9583267153851933,9.299640899501773,659.2059402934432,8.004724148062581e-36,3.8742864876622894e-33
ENSG00000160213,0.8545608558510793,12.531765729312054,587.7798173448152,2.3794539050172544e-34,7.677704600189008e-32
ENSG00000143320,4.1614100758026815,5.34240810502978,568.6233072136692,6.296263945758041e-34,1.4414866285991629e-31
ENSG00000224103,-1.1886703325370436,11.242499411874942,565.3796363130131,7.445695395656833e-34,1.4414866285991629e-31
ENSG00000019582,-0.9565848736177635,13.285373303338076,548.1161509389274,1.8446190485448465e-33,2.9759853983190195e-31
ENSG00000204472,-0.8925551602424925,9.800658318492827,535.2253746748863,3.693393151971708e-33,5.107435101583734e-31
ENSG00000225103,-1.4122062988915696,10.374703643748557,515.1426754527341,1.1228903625698159e-32,1.3586973387094773e-30
ENSG00000215048,-1.1025131109187134,11.137006879650649,494.8634722814431,3.591474950199979e-32,3.8628308353261996e-30
ENSG00000179344,-1.1895985322835276,9.900681100730788,474.25729772098157,1.2231374864407463e-31,1.1839970868746425e-29
ENSG00000125735,2.2083361221274296,4.657931346332787,468.66896432928274,1.719179136090809e-31,1.512877639759912e-29
ENSG00000277263,-1.1408724776082593,12.849379977394266,462.84490561003247,2.4607254595440263e-31,1.9849852040321815e-29
ENSG00000137801,-2.7364590675824925,8.52841276836902,439.95536895647797,1.0478589974901412e-30,7.802519304388129e-29
ENSG00000203747,-1.3304524703381269,8.618426339111833,422.56692544270953,3.293996314104474e-30,2.2775631657522363e-28
ENSG00000137673,4.212900039779742,8.823672749195394,404.8498475171623,1.1045207561283328e-29,7.127840612881508e-28
ENSG00000160255,0.7563388715970651,9.426199819699407,375.3039238985001,9.231454260560432e-29,5.5850298276390614e-27
ENSG00000113140,1.2484214037909438,7.783710199006744,371.8792265980782,1.1916250260374492e-28,6.78525308943677e-27
ENSG00000149131,-1.962969262639071,7.666822883243194,365.0308994495728,1.9974747082146967e-28,1.0741975097510147e-26
ENSG00000229074,-0.9290088076095432,12.074361716538933,364.190434435179,2.1294143290843448e-28,1.0848805634492872e-26
ENSG00000198502,-0.9707372032300736,10.67170035513425,360.2385094485236,2.8814678500446174e-28,1.35343794199005e-26
ENSG00000100985,3.112810599313543,8.8337158742607,359.9939588240387,2.9361773534908107e-28,1.35343794199005e-26
ENSG00000109861,-1.3034444141641677,9.628413206854301,349.2913533566021,6.76030833746722e-28,2.9745356684855765e-26
ENSG00000159189,-1.7782752463289524,10.394051519667014,347.9235093269703,7.532342616025351e-28,3.170133761875017e-26
ENSG00000173372,-1.687464604161025,11.531916745129797,339.9147575295272,1.4291318093234022e-27,5.764164964271056e-26
ENSG00000118785,2.5364701902733686,12.752672938731314,339.0624424549272,1.5310774607287763e-27,5.928331927941821e-26
ENSG00000145287,-2.539026888161024,6.057115092175397,316.2838703047538,1.0212221440811285e-26,3.8020885979635863e-25
ENSG00000100234,2.8031491380880755,6.3378701232745165,315.3382757692203,1.107619198196744e-26,3.9710199402016604e-25
ENSG00000151789,1.9666109358213237,5.62331338661987,322.16171162096555,1.6386618129475012e-26,5.584786637336719e-25
ENSG00000130513,1.5222429541060019,5.563857857326575,310.5717588984583,1.673128228127736e-26,5.584786637336719e-25
ENSG00000129116,1.2167032237882118,7.10077027341993,309.51903058407413,1.8340070813885256e-26,5.917729515946975e-25
ENSG00000105835,-0.9759129545439994,9.592976240545644,308.20710269925314,2.0570627373410256e-26,6.42334428950359e-25
ENSG00000124491,-3.047070758472394,5.372234094179876,302.4773395337988,3.412160308616885e-26,1.0321784933566077e-24
ENSG00000026751,1.9831090855944329,4.606420014220154,299.42540644210226,4.482317596257273e-26,1.2802225656476078e-24
ENSG00000143226,-1.0265938458506303,8.064787417567857,299.3898426478563,4.496649507439945e-26,1.2802225656476078e-24
ENSG00000169439,1.1061107779944244,9.743966625247026,299.01065056069206,4.6524298806515526e-26,1.286729178420201e-24
ENSG00000164949,1.7073661035291796,6.466946012627225,291.82884501414117,8.928349957866961e-26,2.4007340997820054e-24
ENSG00000136156,-0.7057180634793481,10.345294380474083,291.3547512018825,9.325231154742517e-26,2.4396820967002042e-24
ENSG00000162894,1.9933269868573023,4.741436266439591,290.5813221705673,1.001216554021587e-25,2.550467432349727e-24
ENSG00000173391,-1.2107746063835165,9.828013121490892,274.63347044379134,4.492628852120913e-25,1.1150935202187293e-23
ENSG00000116285,-1.7621089054770829,5.779802783417947,273.74710855898394,4.893642009768013e-25,1.1842613663638591e-23
